PLAYER_ID,PLAYER_NAME_LAST_FIRST,TEAM_NAME,TEAM_ID,PASS_TYPE,G,PASS_TO,PASS_TEAMMATE_PLAYER_ID,FREQUENCY,PASS,AST,FGM,FGA,FG_PCT,FG2M,FG2A,FG2_PCT,FG3M,FG3A,FG3_PCT
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,made,74.0,"Mack, Shelvin",202714.0,0.004,0.15,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,made,74.0,"Hinrich, Kirk",2550.0,0.002,0.07,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,made,74.0,"Holiday, Justin",203200.0,0.001,0.03,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
203145.0,"Bazemore, Kent",Atlanta Hawks,1610612737.0,made,74.0,"Tavares, Walter",204002.0,0.001,0.04,0.01,0.01,0.01,1.0,0.01,0.01,1.0,0.0,0.0,
2550.0,"Hinrich, Kirk",Atlanta Hawks,1610612737.0,made,46.0,"Humphries, Kris",2743.0,0.027,0.54,0.11,0.11,0.15,0.714,0.09,0.11,0.8,0.02,0.04,0.5
2550.0,"Hinrich, Kirk",Atlanta Hawks,1610612737.0,made,46.0,"Hardaway Jr., Tim",203501.0,0.024,0.48,0.11,0.11,0.15,0.714,0.02,0.02,1.0,0.09,0.13,0.667
2550.0,"Hinrich, Kirk",Atlanta Hawks,1610612737.0,made,46.0,"Schroder, Dennis",203471.0,0.017,0.35,0.0,0.0,0.15,0.0,0.0,0.09,0.0,0.0,0.07,0.0
2550.0,"Hinrich, Kirk",Atlanta Hawks,1610612737.0,made,46.0,"Millsap, Paul",200794.0,0.015,0.3,0.0,0.0,0.04,0.0,0.0,0.0,,0.0,0.04,0.0
2550.0,"Hinrich, Kirk",Atlanta Hawks,1610612737.0,made,46.0,"Sefolosha, Thabo",200757.0,0.012,0.24,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
2550.0,"Hinrich, Kirk",Atlanta Hawks,1610612737.0,made,46.0,"Muscala, Mike",203488.0,0.012,0.24,0.02,0.02,0.07,0.333,0.02,0.07,0.333,0.0,0.0,
2550.0,"Hinrich, Kirk",Atlanta Hawks,1610612737.0,made,46.0,"Scott, Mike",203118.0,0.011,0.22,0.02,0.02,0.07,0.333,0.0,0.02,0.0,0.02,0.04,0.5
2550.0,"Hinrich, Kirk",Atlanta Hawks,1610612737.0,made,46.0,"Horford, Al",201143.0,0.008,0.15,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,
2550.0,"Hinrich, Kirk",Atlanta Hawks,1610612737.0,made,46.0,"Bazemore, Kent",203145.0,0.004,0.09,0.0,0.0,0.02,0.0,0.0,0.0,,0.0,0.02,0.0
2550.0,"Hinrich, Kirk",Atlanta Hawks,1610612737.0,made,46.0,"Tavares, Walter",204002.0,0.003,0.07,0.02,0.02,0.02,1.0,0.02,0.02,1.0,0.0,0.0,
2550.0,"Hinrich, Kirk",Atlanta Hawks,1610612737.0,made,46.0,"Korver, Kyle",2594.0,0.002,0.04,0.02,0.02,0.02,1.0,0.0,0.0,,0.02,0.02,1.0
2550.0,"Hinrich, Kirk",Atlanta Hawks,1610612737.0,made,46.0,"Teague, Jeff",201952.0,0.001,0.02,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
2550.0,"Hinrich, Kirk",Chicago Bulls,1610612741.0,made,46.0,"Butler, Jimmy",202710.0,0.161,3.24,0.13,0.26,0.76,0.343,0.22,0.67,0.323,0.04,0.09,0.5
2550.0,"Hinrich, Kirk",Chicago Bulls,1610612741.0,made,46.0,"Gasol, Pau",2200.0,0.146,2.93,0.28,0.3,0.63,0.483,0.28,0.61,0.464,0.02,0.02,1.0
2550.0,"Hinrich, Kirk",Chicago Bulls,1610612741.0,made,46.0,"Noah, Joakim",201149.0,0.12,2.41,0.07,0.07,0.2,0.333,0.07,0.2,0.333,0.0,0.0,
2550.0,"Hinrich, Kirk",Chicago Bulls,1610612741.0,made,46.0,"Gibson, Taj",201959.0,0.094,1.89,0.17,0.2,0.39,0.5,0.2,0.39,0.5,0.0,0.0,
