GROUP_SET,PLAYER_ID,PLAYER_NAME,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,CFID,CFPARAMS
Assisted By,202714.0,"Mack, Shelvin",1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,202714
Assisted By,200794.0,"Millsap, Paul",2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,200794
Assisted By,203488.0,"Muscala, Mike",1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,203488
Assisted By,203471.0,"Schroder, Dennis",6.0,6.0,1.0,6.0,6.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,203471
Assisted By,203118.0,"Scott, Mike",1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,203118
Assisted By,200757.0,"Sefolosha, Thabo",1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,200757
Assisted By,201952.0,"Teague, Jeff",2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,201952
Assisted By,203145.0,"Bazemore, Kent",1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,203145
Assisted By,203501.0,"Hardaway Jr., Tim",5.0,5.0,1.0,1.0,1.0,1.0,1.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203501
Assisted By,2550.0,"Hinrich, Kirk",1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,2550
Assisted By,203200.0,"Holiday, Justin",2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,203200
Assisted By,201143.0,"Horford, Al",2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,201143
Assisted By,2743.0,"Humphries, Kris",1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,2743
Assisted By,2594.0,"Korver, Kyle",4.0,4.0,1.0,1.0,1.0,1.0,1.125,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,2594
Assisted By,202714.0,"Mack, Shelvin",7.0,7.0,1.0,2.0,2.0,1.0,1.143,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,202714
Assisted By,200794.0,"Millsap, Paul",4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,200794
Assisted By,203934.0,"Patterson, Lamar",3.0,3.0,1.0,2.0,2.0,1.0,1.333,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203934
Assisted By,203471.0,"Schroder, Dennis",12.0,12.0,1.0,4.0,4.0,1.0,1.167,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203471
Assisted By,203118.0,"Scott, Mike",5.0,5.0,1.0,1.0,1.0,1.0,1.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203118
Assisted By,200757.0,"Sefolosha, Thabo",3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,200757
Assisted By,201168.0,"Splitter, Tiago",1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,201168
Assisted By,201952.0,"Teague, Jeff",12.0,12.0,1.0,1.0,1.0,1.0,1.042,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,201952
Assisted By,203145.0,"Bazemore, Kent",4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,203145
Assisted By,203501.0,"Hardaway Jr., Tim",7.0,7.0,1.0,1.0,1.0,1.0,1.071,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203501
Assisted By,2550.0,"Hinrich, Kirk",1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,2550
Assisted By,203200.0,"Holiday, Justin",4.0,4.0,1.0,1.0,1.0,1.0,1.125,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203200
Assisted By,201143.0,"Horford, Al",20.0,20.0,1.0,9.0,9.0,1.0,1.225,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,201143
Assisted By,2743.0,"Humphries, Kris",1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,2743
Assisted By,2594.0,"Korver, Kyle",12.0,12.0,1.0,3.0,3.0,1.0,1.125,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,2594
Assisted By,202714.0,"Mack, Shelvin",12.0,12.0,1.0,4.0,4.0,1.0,1.167,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,202714
Assisted By,200794.0,"Millsap, Paul",3.0,3.0,1.0,2.0,2.0,1.0,1.333,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,200794
Assisted By,203488.0,"Muscala, Mike",3.0,3.0,1.0,2.0,2.0,1.0,1.333,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203488
Assisted By,203934.0,"Patterson, Lamar",4.0,4.0,1.0,2.0,2.0,1.0,1.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203934
Assisted By,203471.0,"Schroder, Dennis",54.0,54.0,1.0,25.0,25.0,1.0,1.231,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203471
Assisted By,200757.0,"Sefolosha, Thabo",12.0,12.0,1.0,6.0,6.0,1.0,1.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,200757
