"gameorder","game_id","lg_id","X_iscopy","year_id","date_game","seasongame","is_playoffs","team_id","fran_id","pts","elo_i","elo_n","win_equiv","opp_id","opp_fran","opp_pts","opp_elo_i","opp_elo_n","game_location","game_result","forecast","tm_conference","opp_conference","win_dum","prev_avg_pts","opp_prev_avg_pts"
40,21500040,"NBA",1,2015,"2015-11-01",3,0,"SAS",NA,95,1668.56958065483,1675.97023811226,NA,"BOS",NA,87,1515.87174226304,1511.58653251242,"A","W",0.575262015107663,"W","E",1,104,107.5
41,21500041,"NBA",0,2015,"2015-11-01",3,0,"MIA",NA,109,1471.31251388104,1488.72051699917,NA,"HOU",NA,89,1588.15076733078,1574.84546646659,"H","W",0.475786759745198,"E","W",1,98,88.5
41,21500041,"NBA",1,2015,"2015-11-01",3,0,"HOU",NA,89,1588.15076733078,1574.84546646659,NA,"MIA",NA,109,1471.31251388104,1488.72051699917,"A","L",0.524213240254802,"W","E",0,88.5,98
42,21500042,"NBA",0,2015,"2015-11-01",3,0,"TOR",NA,106,1522.37142910685,1529.35515549036,NA,"MIL",NA,87,1435.18278301335,1427.86292512516,"H","W",0.746029014970131,"E","E",1,109.5,105
42,21500042,"NBA",1,2015,"2015-11-01",3,0,"MIL",NA,87,1435.18278301335,1427.86292512516,NA,"TOR",NA,106,1522.37142910685,1529.35515549036,"A","L",0.253970985029869,"E","E",0,105,109.5
43,21500043,"NBA",0,2015,"2015-11-01",4,0,"CHI",NA,92,1585.88889562345,1587.35735531749,NA,"ORL",NA,87,1358.22735073024,1357.39876478703,"H","W",0.868318387639081,"E","E",1,102,103.333333333333
43,21500043,"NBA",1,2015,"2015-11-01",3,0,"ORL",NA,87,1358.22735073024,1357.39876478703,NA,"CHI",NA,92,1585.88889562345,1587.35735531749,"A","L",0.131681612360919,"E","E",0,111.5,106
44,21500044,"NBA",1,2015,"2015-11-01",3,0,"DEN",NA,93,1462.99138683606,1454.63307702976,NA,"OKC",NA,117,1575.00993484002,1582.26549171374,"A","L",0.227852541167203,"W","W",0,91.5,125.5
44,21500044,"NBA",0,2015,"2015-11-01",3,0,"OKC",NA,117,1575.00993484002,1582.26549171374,NA,"DEN",NA,93,1462.99138683606,1454.63307702976,"H","W",0.772147458832797,"W","W",1,125.5,91.5
45,21500045,"NBA",1,2015,"2015-11-01",3,0,"DAL",NA,103,1553.40077653065,1559.60388809206,NA,"LAL",NA,93,1329.2426815248,1324.62852170366,"A","W",0.671441380281117,"W","W",1,99.5,112.5
45,21500045,"NBA",0,2015,"2015-11-01",3,0,"LAL",NA,93,1329.2426815248,1324.62852170366,NA,"DAL",NA,103,1553.40077653065,1559.60388809206,"H","L",0.328558619718883,"W","W",0,112.5,99.5
46,21500046,"NBA",1,2015,"2015-11-02",4,0,"CLE",NA,107,1671.69018199664,1674.29103372002,NA,"PHI",NA,100,1315.53705876877,1313.64334980042,"A","W",0.813745842861073,"E","E",1,101,88.6666666666667
46,21500046,"NBA",0,2015,"2015-11-02",3,0,"PHI",NA,100,1315.53705876877,1313.64334980042,NA,"CLE",NA,107,1671.69018199664,1674.29103372002,"H","L",0.186254157138927,"E","E",0,83,100.5
47,21500047,"NBA",0,2015,"2015-11-02",4,0,"BKN",NA,96,1449.9021997682,1444.97703493471,NA,"MIL",NA,103,1427.86292512516,1440.33231895827,"H","L",0.668745041283769,"E","E",0,88.6666666666667,99
47,21500047,"NBA",1,2015,"2015-11-02",4,0,"MIL",NA,103,1427.86292512516,1440.33231895827,NA,"BKN",NA,96,1449.9021997682,1444.97703493471,"A","W",0.331254958716231,"E","E",1,99,88.6666666666667
48,21500048,"NBA",0,2015,"2015-11-02",4,0,"NYK",NA,84,1369.05618247083,1365.52344511107,NA,"SAS",NA,94,1675.97023811226,1680.12048336128,"H","L",0.233063501626052,"E","W",0,113.333333333333,101
48,21500048,"NBA",1,2015,"2015-11-02",4,0,"SAS",NA,94,1675.97023811226,1680.12048336128,NA,"NYK",NA,84,1369.05618247083,1365.52344511107,"A","W",0.766936498373948,"W","E",1,101,113.333333333333
49,21500049,"NBA",0,2015,"2015-11-02",4,0,"HOU",NA,110,1574.84546646659,1579.69183311792,NA,"OKC",NA,105,1582.26549171374,1580.41103181036,"H","W",0.630166968120914,"W","W",1,88.6666666666667,122.666666666667
49,21500049,"NBA",1,2015,"2015-11-02",4,0,"OKC",NA,105,1582.26549171374,1580.41103181036,NA,"HOU",NA,110,1574.84546646659,1579.69183311792,"A","L",0.369833031879086,"W","W",0,122.666666666667,88.6666666666667
50,21500050,"NBA",1,2015,"2015-11-02",4,0,"POR",NA,106,1532.54504429862,1537.81718185076,NA,"MIN",NA,101,1359.54092508787,1357.58602307832,"A","W",0.603541992344983,"W","W",1,98,102.666666666667
50,21500050,"NBA",0,2015,"2015-11-02",3,0,"MIN",NA,101,1359.54092508787,1357.58602307832,NA,"POR",NA,106,1532.54504429862,1537.81718185076,"H","L",0.396458007655017,"W","W",0,103.5,102
51,21500051,"NBA",0,2015,"2015-11-02",4,0,"GSW",NA,119,1766.49126924817,1774.75632062757,NA,"MEM",NA,69,1577.50460227103,1565.48172005171,"H","W",0.840712764828068,"W","W",1,119,96.3333333333333
51,21500051,"NBA",1,2015,"2015-11-02",4,0,"MEM",NA,69,1577.50460227103,1565.48172005171,NA,"GSW",NA,119,1766.49126924817,1774.75632062757,"A","L",0.159287235171932,"W","W",0,96.3333333333333,119
52,21500052,"NBA",1,2015,"2015-11-02",4,0,"PHX",NA,96,1497.99560928188,1496.52437823848,NA,"LAC",NA,102,1660.18981413301,1662.50423259049,"A","L",0.181040900321293,"W","W",0,102,109.666666666667
52,21500052,"NBA",0,2015,"2015-11-02",4,0,"LAC",NA,102,1660.18981413301,1662.50423259049,NA,"PHX",NA,96,1497.99560928188,1496.52437823848,"H","W",0.818959099678707,"W","W",1,109.666666666667,102
53,21500053,"NBA",1,2015,"2015-11-03",5,0,"CHI",NA,105,1587.35735531749,1569.51907524425,NA,"CHA",NA,130,1421.19492594117,1445.24733766964,"A","L",0.594080883670185,"E","E",0,99.5,102.5
53,21500053,"NBA",0,2015,"2015-11-03",4,0,"CHA",NA,130,1421.19492594117,1445.24733766964,NA,"CHI",NA,105,1587.35735531749,1569.51907524425,"H","W",0.405919116329815,"E","E",1,93.3333333333333,102
54,21500054,"NBA",0,2015,"2015-11-03",4,0,"DET",NA,82,1504.47392751182,1495.03654096002,NA,"IND",NA,94,1481.09059250644,1498.40255672613,"H","L",0.670456745148323,"E","E",0,98.6666666666667,92.6666666666667
